# Blueprint node	Section heading	Lean declaration	Include definition body (yes/no)
# Names are curated, exported by Lean, and checked; not inferred from title text.
def:c3-intervals	Definitions	ComputableAnalysis.RealRaw.ValidCompute	yes
def:c3-intervals	Definitions	ComputableAnalysis.RealRaw.Valid	yes
def:c3-intervals	Definitions	ComputableAnalysis.RealRaw.Equiv	yes
def:c3-intervals	Definitions	ComputableAnalysis.RealRaw.Le	yes
def:c3-intervals	Equivalence and refinement	ComputableAnalysis.RealRaw.allStagesOverlap_of_equiv	no
def:c3-intervals	Equivalence and refinement	ComputableAnalysis.RealRaw.equiv_trans	no
def:c3-arctan	Geometric and rectangle computations	ComputableAnalysis.CosinePrimitive.A	yes
def:c3-arctan	Geometric and rectangle computations	ComputableAnalysis.ArctanGeometry.arctanIntegralRectangleRaw	yes
def:c3-arctan	Validity and agreement	ComputableAnalysis.ArctanGeometry.arctanIntegralRectangleRaw_valid	no
def:c3-arctan	Validity and agreement	ComputableAnalysis.ArctanGeometry.arctanIntegralRectangleRaw_equiv_arctanGeom	no
def:c3-pi	Definitions	ComputableAnalysis.CosinePrimitive.pi	yes
def:c3-pi	Definitions	ComputableAnalysis.CosinePrimitive.inversePi	yes
def:c3-pi	Validity and identification	ComputableAnalysis.CosinePrimitive.pi_valid	no
def:c3-pi	Validity and identification	ComputableAnalysis.CosinePrimitive.pi_compute	no
def:c3-pi	Validity and identification	ComputableAnalysis.CosinePrimitive.inversePi_compute	no
def:c3-pi	Validity and identification	ComputableAnalysis.CosinePrimitive.inversePi_valid	no
lem:c3-inverse	Computation and provider	ComputableAnalysis.ClosedArctanInverse.raw	yes
lem:c3-inverse	Computation and provider	ComputableAnalysis.ClosedArctanInverse.search	no
lem:c3-inverse	Computation and provider	ComputableAnalysis.ClosedArctanInverse.provider	no
lem:c3-inverse	Range, convergence, and inverse equation	ComputableAnalysis.ClosedArctanInverse.raw_valid	no
lem:c3-inverse	Range, convergence, and inverse equation	ComputableAnalysis.ClosedArctanInverse.raw_unit	no
lem:c3-inverse	Range, convergence, and inverse equation	ComputableAnalysis.ClosedArctanInverse.raw_width	no
lem:c3-inverse	Range, convergence, and inverse equation	ComputableAnalysis.ClosedArctanInverse.image_overlaps	no
def:c3-trig	Closed sine and cosine	ComputableAnalysis.CosinePrimitive.S	yes
def:c3-trig	Closed sine and cosine	ComputableAnalysis.CosinePrimitive.C	yes
def:c3-trig	Closed sine and cosine	ComputableAnalysis.CosinePrimitive.S_valid	no
def:c3-trig	Closed sine and cosine	ComputableAnalysis.CosinePrimitive.C_valid	no
def:c3-trig	Underlying inverse-arctangent definitions	ComputableAnalysis.SinPiIntegral.sinPiRawOfArctan	yes
def:c3-trig	Underlying inverse-arctangent definitions	ComputableAnalysis.SinPiIntegral.cosPiRawOfArctan	yes
def:c3-trig	Underlying validity certificates	ComputableAnalysis.SinPiIntegral.sinPiRawOfArctan_valid	no
def:c3-trig	Underlying validity certificates	ComputableAnalysis.SinPiIntegral.cosPiRawOfArctan_valid	no
def:c3-integral	Program and finite meshes	ComputableAnalysis.CosinePrimitive.integral	yes
def:c3-integral	Program and finite meshes	ComputableAnalysis.CosineFTC.fixedMesh	yes
def:c3-integral	Program and finite meshes	ComputableAnalysis.CosineFTC.error	yes
def:c3-integral	Program and finite meshes	ComputableAnalysis.Integral.Dovetail.raw	yes
def:c3-integral	Finite-sum and refinement certificates	ComputableAnalysis.CosineFTC.fixedMesh_compute_eq_riemannLeftInterval	no
def:c3-integral	Finite-sum and refinement certificates	ComputableAnalysis.CosineFTC.fixedMesh_valid	no
def:c3-integral	Finite-sum and refinement certificates	ComputableAnalysis.CosineFTC.error_shrinks	no
def:c3-integral	Finite-sum and refinement certificates	ComputableAnalysis.Integral.Dovetail.raw_contains_mesh	no
lem:c3-direct	Finite geometric estimates	ComputableAnalysis.GeometricSineFiniteBounds.finite_normalized_residual	no
lem:c3-direct	Finite geometric estimates	ComputableAnalysis.GeometricSineDirectBounds.positive_increment_error	no
lem:c3-direct	Telescoping and endpoint comparison	ComputableAnalysis.FiniteRiemannAlgebra.telescope_bound	no
lem:c3-direct	Telescoping and endpoint comparison	ComputableAnalysis.CosineFTC.fixedMesh_overlaps_endpoint	no
lem:c3-direct	Telescoping and endpoint comparison	ComputableAnalysis.CosinePrimitive.endpoints_from_zero	no
lem:c3-concavity	Geometric supporting lines	ComputableAnalysis.GeometricSineConcavity.chord_tangent_bounds	no
lem:c3-concavity	Geometric supporting lines	ComputableAnalysis.GeometricSineConcavity.selected_support	no
lem:c3-concavity	Concavity and supporting secants	ComputableAnalysis.GeometricSineConcavity.sine_concave	no
lem:c3-concavity	Concavity and supporting secants	ComputableAnalysis.GeometricSineConcavity.primitive_concave	no
lem:c3-concavity	Concavity and supporting secants	ComputableAnalysis.GeometricSineConcavity.primitive_secant_bounds	no
lem:c3-concavity	Derivative data and consequences	ComputableAnalysis.GeometricSineConcavity.primitiveDerivativeData	no
lem:c3-concavity	Derivative data and consequences	ComputableAnalysis.GeometricSineConcavity.sineDerivative_valid	no
